complaint_type,descriptor,count
Advocate-SCRIE/DRIE,SCRIE Application Renewal,1
SG-99,,1
Misc. Comments|echo 3p7wexz...,Trauma Counseling,1
GENERAL,PORCH/BALCONY,1
Hazardous Material,Chemical Odor,1
Misc. Comments);declare @q ...,Trauma Counseling,1
../WEB-INF/web.xml;x=,Trauma Counseling,1
a'a\'b&quot;c&gt;?&gt;%}}%%...,Trauma Counseling,1
Misc. Commentseowljujfh8,Trauma Counseling,1
Plant,Dry weather discharge (DWD),1
Misc. Comments&quot;|echo 2...,Trauma Counseling,1
Public Toilet,Damaged/Leaking Roof,1
Transfer Station Complaint,Insects or Rodents,1
DEP Highway Condition,Plate Condition - DEP,1
Sewer,SOAP segment *FOR DEP INTERNAL USE ONLY* (SOAP)  Recurring after SOAP *FOR DEP INTERNAL USE ONLY* (SRAS),1
DEP Street Condition,Asphalt Around Valve Box,1
c:\windows\win.ini Misc. Co...,Trauma Counseling,1
Misc. Comments69075347' or ...,Trauma Counseling,1
Water System,NO WATER (WNW),1
DOR Literature Request,Permission to Publish Contract,1
Question,Communications/Intergovernmental,1
nslookup -q=cname nneyfcxgy...,Trauma Counseling,1
DSNY Internal,Request Changes,1
Facade Insp Safety Pgm,Facades Uunit Complaince Inspection,1
Misc. Comments' and 7702=77...,Trauma Counseling,1
Consumer Complaint,Domestic Worker Employment Agency,1
Emergency Response Team (ERT),V.E.S.T. Program (DOB & NYPD),1
.../Misc. Comments,Trauma Counseling,1
%c0%ae/%c0%ae/%c0%ae/WEB-IN...,Trauma Counseling,1
Borough Office,Stalled Sites Tracking Complaint,1
Comments,Language Access Coordinator,1
Misc. Comments88909845' or ...,Trauma Counseling,1
Misc. Comments&amp;ping -n ...,Trauma Counseling,1
Water System,Manhole Sunken/Damaged/Raised *For Dep Internal Use Only* (WF2),1
Misc. Comments' and (select...,Trauma Counseling,1
Misc. Comments;declare @q v...,Trauma Counseling,1
%c0%ae/%c0%ae/WEB-INF/web.xml,Trauma Counseling,1
Misc. Comments'+sleep(20.to...,Trauma Counseling,1
Hazardous Material,Storage of Unsafe Chemical,1
hcvn1{{687*375}}gji51,Trauma Counseling,1
...\./...\./...\./...\./......,Trauma Counseling,1
Sprinkler - Mechanical,Because of Violation,1
kawn''lcgv,Trauma Counseling,1
Question,ALJ Division,1
Mold,N/A,1
Misc. Comments';declare @q ...,Trauma Counseling,1
Misc. Comments&quot;,Trauma Counseling,1
Forms,Financial Disclosure Info,1
.../....///.../....///.../....,Trauma Counseling,1
"Misc. Comments,(select*from...",Trauma Counseling,1
./validate_form.php,Trauma Counseling,1
Advocate - Other,Commercial Rent Tax-Other,1
Advocate-Foreclosure,In Rem Foreclosure,1
Misc. Comments&amp;nslookup...,Trauma Counseling,1
Misc. Comments' and '7835'=...,Trauma Counseling,1
*)(objectClass=*,Trauma Counseling,1
http://g7orz5h9iu2sh6z332rj...,Trauma Counseling,1
Misc. Comments{${sleep(20)}},Trauma Counseling,1
(select load_file('\\\\615h...,Trauma Counseling,1
Comments,Annual Report,1
Public Toilet,Damaged/Missing Ad Box,1
%{(#dm=@ognl.OgnlContext@DE...,Trauma Counseling,1
&quot;--&gt;'--&gt;`--&gt;&...,Trauma Counseling,1
Misc. Comments'&quot;`0&amp...,Trauma Counseling,1
Unsanitary Condition,Garbage or Litter,1
c:\windows\win.ini,Trauma Counseling,1
Health,Obtaining Health Insurance,1
${3804*3137},Trauma Counseling,1
Misc. Comments')waitfor del...,Trauma Counseling,1
%2fetc%2fpasswd,Trauma Counseling,1
../../../WEB-INF/web.xml,Trauma Counseling,1
/etc/passwd,Trauma Counseling,1
@(9313*3464),Trauma Counseling,1
bcd9&lt;!--esi--&gt;1ggp&lt...,Trauma Counseling,1
../WEB-INF/web.xml,Trauma Counseling,1
Water Leak,General Maintenance,1
Asbestos/Garbage Nuisance,N/A,1
Transfer Station Complaint,Litter,1
Misc. Comments',Trauma Counseling,1
Misc. Comments|nslookup -q=...,Trauma Counseling,1
For Hire Vehicle Report,Car Service Company Complaint,1
Research Questions,ULURP Project Status Questions,1
`sleep 11`,Trauma Counseling,1
Comments,Tax Commission Rules,1
.../...//.../...//.../...//...,Trauma Counseling,1
Internal Code,"Air: Odor/Fumes, Other (Use Comments)-For Dep Internal Use Only (YAD6)",1
DCA / DOH New License Application Request,Inhalation Therapy Supervising Technician License,1
Hazmat Storage/Use,Non-med Compressed Gas - New,1
../../WEB-INF/web.xml,Trauma Counseling,1
Forms,Birth/Death Certificates,1
Misc. Comments'|echo y9v6fc...,Trauma Counseling,1
Misc. Comments  BCC:a5glxzf...,Trauma Counseling,1
Street Condition,Concrete Walls,1
Change Collection Schedule,23 Change Collection Schedule,1
Misc. Comments'+eval(compil...,Trauma Counseling,1
g0oii1s4s5)(objectClass=*,Trauma Counseling,1
{!xmlparser v='&lt;!DOCTYPE...,Trauma Counseling,1
Unsanitary Condition,Insects / Pests,1
Misc. Comments');declare @q...,Trauma Counseling,1
Portable Toilet,Abandoned,1
Traffic Signal Condition,EXPY Sign Fixt Cover,1
(select extractvalue(xmltyp...,Trauma Counseling,1
DOF Parking - Request Copy,Status of Appeal,1
Electric,Lighting/Electrical,1
DOF Parking - Request Status,Image of Ticket,1
MOLD,Public Complaint - Comm Location,1
Heat/Hot Water,Water Supply,1
Mold,Kitchen/Food Prep Area,1
Building Condition,Residential,1
Internal Code,"Air: Odor/Fumes, Restaurant - For Dep Internal Use Only (YAD2)",1
